Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HV 2360                  | |05 12 46.360|-67 19 37.8|X0050|55119.2902|       |spU|spV|spN|fits/xsl_spectrum_X0050_uvb.fits        |fits/xsl_spectrum_X0050_vis.fits        |fits/xsl_spectrum_X0050_nir.fits        |                                                                                                                                                                                                        |HV 2360
[PHS2008] RGB 533        | |05 13 12.680|-71 18 00.5|X0238|55429.3470|       |spU|spV|spN|fits/xsl_spectrum_X0238_uvb.fits        |fits/xsl_spectrum_X0238_vis.fits        |fits/xsl_spectrum_X0238_nir.fits        |                                                                                                                                                                                                        |[PHS2008] RGB 533
SHV 0515313-694303       | |05 15 08.590|-69 39 50.3|X0517|56213.3253|       |spU|spV|spN|fits/xsl_spectrum_X0517_uvb.fits        |fits/xsl_spectrum_X0517_vis.fits        |fits/xsl_spectrum_X0517_nir.fits        |                                                                                                                                                                                                        |SHV 0515313-694303
SHV 0515461-691822       | |05 15 26.890|-69 15 07.4|X0054|55142.2597|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0054_uvb_nlc.fits|fits/xsl_spectrum_X0054_vis.fits        |fits_nlc/xsl_spectrum_X0054_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0515461-691822
SHV 0517337-725738       | |05 16 33.320|-72 54 32.0|X0519|56213.3618|       |spU|spV|spN|fits/xsl_spectrum_X0519_uvb.fits        |fits/xsl_spectrum_X0519_vis.fits        |fits/xsl_spectrum_X0519_nir.fits        |                                                                                                                                                                                                        |SHV 0517337-725738
SHV 0518222-750327       | |05 16 49.730|-75 00 22.8|X0055|55142.2774|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0055_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0055_vis_nlc.fits|fits_nlc/xsl_spectrum_X0055_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0518222-750327
SHV 0518161-683543       | |05 18 02.480|-68 32 39.1|X0530|56234.2848|       |spU|spV|spN|fits/xsl_spectrum_X0530_uvb.fits        |fits/xsl_spectrum_X0530_vis.fits        |fits/xsl_spectrum_X0530_nir.fits        |                                                                                                                                                                                                        |SHV 0518161-683543
SHV 0518331-685102       | |05 18 17.500|-68 47 59.1|X0531|56237.3360|       |spU|spV|spN|fits/xsl_spectrum_X0531_uvb.fits        |fits/xsl_spectrum_X0531_vis.fits        |fits/xsl_spectrum_X0531_nir.fits        |                                                                                                                                                                                                        |SHV 0518331-685102
SHV 0518570-692207       | |05 18 36.620|-69 19 05.1|X0056|55142.2922|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0056_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0056_vis_nlc.fits|fits/xsl_spectrum_X0056_nir.fits        |                                                                                                                                                                                                        |SHV 0518570-692207
SHV 0518571-690729       | |05 18 39.100|-69 04 28.2|X0532|56240.3017|       |spU|spV|spN|fits/xsl_spectrum_X0532_uvb.fits        |fits/xsl_spectrum_X0532_vis.fits        |fits/xsl_spectrum_X0532_nir.fits        |                                                                                                                                                                                                        |SHV 0518571-690729
HD 34797                 | |05 19 18.310|-18 30 34.3|X0113|55235.0591|       |spU|spV|spN|fits/xsl_spectrum_X0113_uvb.fits        |fits/xsl_spectrum_X0113_vis.fits        |fits/xsl_spectrum_X0113_nir.fits        |                                                                                                                                                                                                        |HD 34797
HD 34816                 | |05 19 34.520|-13 10 36.3|X0303|55467.3751|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0303_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0303_vis_nlc.fits|fits_nlc/xsl_spectrum_X0303_nir_nlc.fits|                                                                                                                                                                                                        |HD 34816
SHV 0520036-692817       | |05 19 42.270|-69 25 19.6|X0509|56212.2973|       |spU|spV|spN|fits/xsl_spectrum_X0509_uvb.fits        |fits/xsl_spectrum_X0509_vis.fits        |fits/xsl_spectrum_X0509_nir.fits        |                                                                                                                                                                                                        |SHV 0520036-692817
HV 2446                  | |05 20 01.580|-67 34 42.1|X0057|55142.3046|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0057_uvb_nlc.fits|fits/xsl_spectrum_X0057_vis.fits        |fits/xsl_spectrum_X0057_nir.fits        |                                                                                                                                                                                                        |HV 2446
SHV 0520261-693826       | |05 20 03.340|-69 35 33.5|X0524|56214.3460|       |spU|spV|spN|fits/xsl_spectrum_X0524_uvb.fits        |fits/xsl_spectrum_X0524_vis.fits        |fits/xsl_spectrum_X0524_nir.fits        |                                                                                                                                                                                                        |SHV 0520261-693826
SHV 0520342-693911       | |05 20 11.290|-69 36 20.0|X0592|56316.0320|       |spU|spV|spN|fits/xsl_spectrum_X0592_uvb.fits        |fits/xsl_spectrum_X0592_vis.fits        |fits/xsl_spectrum_X0592_nir.fits        |                                                                                                                                                                                                        |SHV 0520342-693911
SHV 0520505-705019       | |05 20 15.010|-70 47 26.1|X0058|55142.3152|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0058_uvb_nlc.fits|fits/xsl_spectrum_X0058_vis.fits        |fits_nlc/xsl_spectrum_X0058_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0520505-705019
SHV 0520427-693637       | |05 20 20.190|-69 33 44.8|X0534|56240.3521|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0534_uvb_nlc.fits|fits/xsl_spectrum_X0534_vis.fits        |fits/xsl_spectrum_X0534_nir.fits        |                                                                                                                                                                                                        |SHV 0520427-693637
SHV 0520498-692715       | |05 20 28.160|-69 24 22.7|X0543|56261.3108|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0543_uvb_nlc.fits|fits/xsl_spectrum_X0543_vis.fits        |fits/xsl_spectrum_X0543_nir.fits        |                                                                                                                                                                                                        |SHV 0520498-692715
HD 271182                | |05 21 01.710|-65 48 02.4|X0542|56261.2490|       |spU|spV|spN|fits/xsl_spectrum_X0542_uvb.fits        |fits/xsl_spectrum_X0542_vis.fits        |fits/xsl_spectrum_X0542_nir.fits        |                                                                                                                                                                                                        |HD 271182
SHV 0522380-691255       | |05 22 18.280|-69 10 10.4|X0059|55142.3298|       |spU|spV|spN|fits/xsl_spectrum_X0059_uvb.fits        |fits/xsl_spectrum_X0059_vis.fits        |fits_nlc/xsl_spectrum_X0059_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0522380-691255
HD 35179                 | |05 22 21.010|-14 23 50.0|X0570|56286.1202|       |spU|spV|spN|fits/xsl_spectrum_X0570_uvb.fits        |fits/xsl_spectrum_X0570_vis.fits        |fits/xsl_spectrum_X0570_nir.fits        |                                                                                                                                                                                                        |HD 35179
SHV 0523371-713351       | |05 22 53.080|-71 31 10.0|X0510|56212.3449|       |spU|spV|spN|fits/xsl_spectrum_X0510_uvb.fits        |fits/xsl_spectrum_X0510_vis.fits        |fits/xsl_spectrum_X0510_nir.fits        |                                                                                                                                                                                                        |SHV 0523371-713351
SHV 0523357-692038       | |05 23 14.700|-69 17 57.7|X0060|55142.3471|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0060_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0060_vis_nlc.fits|fits_nlc/xsl_spectrum_X0060_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0523357-692038
NGC 1904 153             | |05 24 09.130|-24 34 16.1|X0521|56214.2940|       |spU|spV|spN|fits/xsl_spectrum_X0521_uvb.fits        |fits/xsl_spectrum_X0521_vis.fits        |fits/xsl_spectrum_X0521_nir.fits        |                                                                                                                                                                                                        |NGC 1904 153
NGC 1904 160             | |05 24 09.390|-24 33 30.1|X0522|56214.3095|       |spU|spV|spN|fits/xsl_spectrum_X0522_uvb.fits        |fits/xsl_spectrum_X0522_vis.fits        |fits/xsl_spectrum_X0522_nir.fits        |                                                                                                                                                                                                        |NGC 1904 160
NGC 1904 223             | |05 24 18.480|-24 31 43.4|X0523|56214.3214|       |spU|spV|spN|fits/xsl_spectrum_X0523_uvb.fits        |fits/xsl_spectrum_X0523_vis.fits        |fits/xsl_spectrum_X0523_nir.fits        |                                                                                                                                                                                                        |NGC 1904 223
SHV 0525012-694829       | |05 24 36.230|-69 45 56.0|X0551|56273.1213|       |spU|spV|spN|fits/xsl_spectrum_X0551_uvb.fits        |fits/xsl_spectrum_X0551_vis.fits        |fits/xsl_spectrum_X0551_nir.fits        |                                                                                                                                                                                                        |SHV 0525012-694829
SHV 0525478-690944       | |05 25 28.220|-69 07 13.2|X0061|55142.3627|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0061_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0061_vis_nlc.fits|fits_nlc/xsl_spectrum_X0061_nir_nlc.fits|C star. NIR poor below 1.3 mu.                                                                                                                                                                          |SHV 0525478-690944
SHV 0525543-692639       | |05 25 32.180|-69 24 09.2|X0098|55226.1607|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0098_uvb_nlc.fits|fits/xsl_spectrum_X0098_vis.fits        |fits_nlc/xsl_spectrum_X0098_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0525543-692639
SHV 0526364-693639       | |05 26 12.450|-69 34 13.1|X0099|55226.1731|       |spU|spV|spN|fits/xsl_spectrum_X0099_uvb.fits        |fits/xsl_spectrum_X0099_vis.fits        |fits_nlc/xsl_spectrum_X0099_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0526364-693639
SHV 0527072-701238       | |05 26 37.820|-70 10 11.6|X0544|56261.3372|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0544_vis.fits        |fits/xsl_spectrum_X0544_nir.fits        |                                                                                                                                                                                                        |SHV 0527072-701238
SHV 0527058-693746       | |05 26 42.230|-69 35 22.3|X0533|56240.3268|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0533_uvb_nlc.fits|fits/xsl_spectrum_X0533_vis.fits        |fits/xsl_spectrum_X0533_nir.fits        |                                                                                                                                                                                                        |SHV 0527058-693746
SHV 0527122-695006       | |05 26 46.660|-69 47 41.5|X0798|56579.2991|       |spU|spV|spN|fits/xsl_spectrum_X0798_uvb.fits        |fits/xsl_spectrum_X0798_vis.fits        |fits/xsl_spectrum_X0798_nir.fits        |M giant with contamination by nearby hot star below 450 nm                                                                                                                                              |SHV 0527122-695006
HD 35601                 | |05 27 10.220|+29 55 15.8|X0330|55599.0677|NIR    |spU|spV|spN|fits_nlc/xsl_spectrum_X0330_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0330_vis_nlc.fits|                                        |                                                                                                                                                                                                        |HD 35601
HV 2555                  | |05 28 14.860|-66 32 46.1|X0786|56561.3701|       |spU|spV|spN|fits/xsl_spectrum_X0786_uvb.fits        |fits/xsl_spectrum_X0786_vis.fits        |fits/xsl_spectrum_X0786_nir.fits        |                                                                                                                                                                                                        |HV 2555
SHV 0528537-695119       | |05 28 27.730|-69 49 01.7|X0100|55226.1888|UVB    |spU|spV|spN|                                        |fits_nlc/xsl_spectrum_X0100_vis_nlc.fits|fits_nlc/xsl_spectrum_X0100_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0528537-695119
CL* NGC 1978 LE 09       | |05 28 50.740|-66 14 44.1|X0804|56581.2980|       |spU|spV|spN|fits/xsl_spectrum_X0804_uvb.fits        |fits/xsl_spectrum_X0804_vis.fits        |fits/xsl_spectrum_X0804_nir.fits        |                                                                                                                                                                                                        |CL* NGC 1978 LE 09
CL* NGC 1978 LE 09       | |05 28 50.740|-66 14 44.1|X0805|56581.3088|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0805_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0805_vis_nlc.fits|fits_nlc/xsl_spectrum_X0805_nir_nlc.fits|                                                                                                                                                                                                        |CL* NGC 1978 LE 09
CL* NGC 1978 LE 09       | |05 28 50.740|-66 14 44.1|X0806|56581.3203|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0806_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0806_vis_nlc.fits|fits_nlc/xsl_spectrum_X0806_nir_nlc.fits|                                                                                                                                                                                                        |CL* NGC 1978 LE 09
[M2002] LMC 143035       | |05 29 03.470|-69 06 46.2|X0118|55240.0322|       |spU|spV|spN|fits/xsl_spectrum_X0118_uvb.fits        |fits/xsl_spectrum_X0118_vis.fits        |fits/xsl_spectrum_X0118_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 143035
SHV 0529222-684846       | |05 29 05.390|-68 46 31.1|X0803|56579.3649|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0803_uvb_nlc.fits|fits/xsl_spectrum_X0803_vis.fits        |fits/xsl_spectrum_X0803_nir.fits        |                                                                                                                                                                                                        |SHV 0529222-684846
SHV 0529355-694037       | |05 29 11.150|-69 38 24.9|X0799|56579.3168|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0799_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0799_vis_nlc.fits|fits_nlc/xsl_spectrum_X0799_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0529355-694037
SHV 0529355-694037       | |05 29 11.150|-69 38 24.9|X0800|56579.3273|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0800_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0800_vis_nlc.fits|fits_nlc/xsl_spectrum_X0800_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0529355-694037
SHV 0529355-694037       | |05 29 11.150|-69 38 24.9|X0801|56579.3424|       |spU|spV|spN|fits/xsl_spectrum_X0801_uvb.fits        |fits/xsl_spectrum_X0801_vis.fits        |fits/xsl_spectrum_X0801_nir.fits        |                                                                                                                                                                                                        |SHV 0529355-694037
SHV 0529467-693825       | |05 29 22.660|-69 36 13.0|X0101|55226.2003|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0101_uvb_nlc.fits|fits/xsl_spectrum_X0101_vis.fits        |fits_nlc/xsl_spectrum_X0101_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0529467-693825
SHV 0530380-702618       | |05 30 05.810|-70 24 06.9|X0807|56581.3405|       |spU|spV|spN|fits/xsl_spectrum_X0807_uvb.fits        |fits/xsl_spectrum_X0807_vis.fits        |fits/xsl_spectrum_X0807_nir.fits        |                                                                                                                                                                                                        |SHV 0530380-702618
SHV 0530380-702618       | |05 30 05.810|-70 24 06.9|X0808|56581.3512|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0808_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0808_vis_nlc.fits|fits_nlc/xsl_spectrum_X0808_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0530380-702618
[M2002] LMC 148035       | |05 30 35.540|-68 59 23.4|X0119|55240.0406|       |spU|spV|spN|fits/xsl_spectrum_X0119_uvb.fits        |fits/xsl_spectrum_X0119_vis.fits        |fits/xsl_spectrum_X0119_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 148035
[M2002] LMC 150040       | |05 31 09.270|-67 25 55.0|X0120|55240.0491|       |spU|spV|spN|fits/xsl_spectrum_X0120_uvb.fits        |fits/xsl_spectrum_X0120_vis.fits        |fits/xsl_spectrum_X0120_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 150040
SHV 0531398-701050       | |05 31 10.180|-70 08 43.6|X0811|56584.2885|       |spU|spV|spN|fits/xsl_spectrum_X0811_uvb.fits        |fits/xsl_spectrum_X0811_vis.fits        |fits/xsl_spectrum_X0811_nir.fits        |                                                                                                                                                                                                        |SHV 0531398-701050
SHV 0531398-701050       | |05 31 10.180|-70 08 43.6|X0812|56584.2997|NIR    |spU|spV|spN|fits_nlc/xsl_spectrum_X0812_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0812_vis_nlc.fits|                                        |                                                                                                                                                                                                        |SHV 0531398-701050
HD 36395                 | |05 31 27.400|-03 40 38.0|X0830|56595.3566|NIR    |spU|spV|spN|fits/xsl_spectrum_X0830_uvb.fits        |fits/xsl_spectrum_X0830_vis.fits        |                                        |                                                                                                                                                                                                        |HD 36395
SHV 0531582-701623       | |05 31 27.520|-70 14 16.8|X0813|56584.3214|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0813_uvb_nlc.fits|fits/xsl_spectrum_X0813_vis.fits        |fits/xsl_spectrum_X0813_nir.fits        |                                                                                                                                                                                                        |SHV 0531582-701623
SHV 0531582-701623       | |05 31 27.520|-70 14 16.8|X0814|56584.3321|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0814_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0814_vis_nlc.fits|fits_nlc/xsl_spectrum_X0814_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0531582-701623
HD 36702                 | |05 31 52.300|-38 33 24.0|X0827|56589.2914|       |spU|spV|spN|fits/xsl_spectrum_X0827_uvb.fits        |fits/xsl_spectrum_X0827_vis.fits        |fits/xsl_spectrum_X0827_nir.fits        |                                                                                                                                                                                                        |HD 36702
HD 37763                 | |05 31 52.830|-76 20 27.2|X0298|55465.1796|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0298_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0298_vis_nlc.fits|fits_nlc/xsl_spectrum_X0298_nir_nlc.fits|                                                                                                                                                                                                        |HD 37763
SHV 0533015-720047       | |05 32 11.050|-71 58 48.8|X0102|55226.2110|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0102_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0102_vis_nlc.fits|fits_nlc/xsl_spectrum_X0102_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0533015-720047
SHV 0533130-702409       | |05 32 40.860|-70 22 07.5|X0815|56584.3475|       |spU|spV|spN|fits/xsl_spectrum_X0815_uvb.fits        |fits/xsl_spectrum_X0815_vis.fits        |fits/xsl_spectrum_X0815_nir.fits        |                                                                                                                                                                                                        |SHV 0533130-702409
[M2002] LMC 157533       | |05 33 29.600|-67 31 37.6|X0825|56587.3497|       |spU|spV|spN|fits/xsl_spectrum_X0825_uvb.fits        |fits/xsl_spectrum_X0825_vis.fits        |fits/xsl_spectrum_X0825_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 157533
[M2002] LMC 158646       | |05 33 52.180|-69 11 13.5|X0241|55429.4153|       |spU|spV|spN|fits/xsl_spectrum_X0241_uvb.fits        |fits/xsl_spectrum_X0241_vis.fits        |fits/xsl_spectrum_X0241_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 158646
[M2002] LMC 159974       | |05 34 21.430|-69 22 00.2|X0797|56579.2889|       |spU|spV|spN|fits/xsl_spectrum_X0797_uvb.fits        |fits/xsl_spectrum_X0797_vis.fits        |fits/xsl_spectrum_X0797_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 159974
SHV 0534578-702532       | |05 34 25.330|-70 23 38.4|X0821|56586.3348|       |spU|spV|spN|fits/xsl_spectrum_X0821_uvb.fits        |fits/xsl_spectrum_X0821_vis.fits        |fits/xsl_spectrum_X0821_nir.fits        |                                                                                                                                                                                                        |SHV 0534578-702532
SHV 0534578-702532       | |05 34 25.330|-70 23 38.4|X0822|56586.3460|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0822_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0822_vis_nlc.fits|fits_nlc/xsl_spectrum_X0822_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0534578-702532
SHV 0534578-702532       | |05 34 25.330|-70 23 38.4|X0823|56586.3571|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0823_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0823_vis_nlc.fits|fits_nlc/xsl_spectrum_X0823_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0534578-702532
SHV 0535237-700720       | |05 34 54.190|-70 05 29.9|X0818|56586.2893|NIR    |spU|spV|spN|fits/xsl_spectrum_X0818_uvb.fits        |fits/xsl_spectrum_X0818_vis.fits        |                                        |                                                                                                                                                                                                        |SHV 0535237-700720
SHV 0535237-700720       | |05 34 54.190|-70 05 29.9|X0819|56586.3006|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0819_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0819_vis_nlc.fits|fits_nlc/xsl_spectrum_X0819_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0535237-700720
SHV 0535237-700720       | |05 34 54.190|-70 05 29.9|X0820|56586.3115|NIR    |spU|spV|spN|fits_nlc/xsl_spectrum_X0820_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0820_vis_nlc.fits|                                        |                                                                                                                                                                                                        |SHV 0535237-700720
[M2002] LMC 162635       | |05 35 24.530|-69 04 03.3|X0265|55439.3921|       |spU|spV|spN|fits/xsl_spectrum_X0265_uvb.fits        |fits/xsl_spectrum_X0265_vis.fits        |fits/xsl_spectrum_X0265_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 162635
SHV 0536139-701604       | |05 35 42.810|-70 14 16.3|X0103|55226.2269|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0103_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0103_vis_nlc.fits|fits_nlc/xsl_spectrum_X0103_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0536139-701604
[M2002] LMC 168757       | |05 37 36.800|-69 29 23.5|X0266|55439.4008|       |spU|spV|spN|fits/xsl_spectrum_X0266_uvb.fits        |fits/xsl_spectrum_X0266_vis.fits        |fits/xsl_spectrum_X0266_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 168757
[M2002] LMC 170452       | |05 38 16.000|-69 10 11.2|X0148|55392.4105|       |spU|spV|spN|fits/xsl_spectrum_X0148_uvb.fits        |fits/xsl_spectrum_X0148_vis.fits        |fits/xsl_spectrum_X0148_nir.fits        |                                                                                                                                                                                                        |[M2002] LMC 170452
HD 37828                 | |05 40 54.640|-11 12 00.1|X0097|55224.0808|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0097_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0097_vis_nlc.fits|fits_nlc/xsl_spectrum_X0097_nir_nlc.fits|                                                                                                                                                                                                        |HD 37828
HD 37828                 | |05 40 54.640|-11 12 00.1|X0304|55467.3916|       |spU|spV|spN|fits/xsl_spectrum_X0304_uvb.fits        |fits/xsl_spectrum_X0304_vis.fits        |fits_nlc/xsl_spectrum_X0304_nir_nlc.fits|Continuum poor between 1 and 1.4 mu (prefer X0097)                                                                                                                                                      |HD 37828
SHV 0542111-683837       | |05 41 54.710|-68 37 18.7|X0809|56581.3659|       |spU|spV|spN|fits/xsl_spectrum_X0809_uvb.fits        |fits/xsl_spectrum_X0809_vis.fits        |fits/xsl_spectrum_X0809_nir.fits        |                                                                                                                                                                                                        |SHV 0542111-683837
SHV 0542111-683837       | |05 41 54.710|-68 37 18.7|X0810|56581.3757|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0810_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0810_vis_nlc.fits|fits_nlc/xsl_spectrum_X0810_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0542111-683837
SHV 0543367-695800       | |05 43 08.040|-69 56 45.5|X0117|55237.0630|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0117_uvb_nlc.fits|fits/xsl_spectrum_X0117_vis.fits        |fits_nlc/xsl_spectrum_X0117_nir_nlc.fits|                                                                                                                                                                                                        |SHV 0543367-695800
HD 38145                 | |05 43 42.230|+04 00 15.3|X0831|56595.3622|       |spU|spV|spN|fits/xsl_spectrum_X0831_uvb.fits        |fits/xsl_spectrum_X0831_vis.fits        |fits/xsl_spectrum_X0831_nir.fits        |                                                                                                                                                                                                        |HD 38145
HD 38237                 | |05 44 30.590|+04 20 21.0|X0285|55461.2934|       |spU|spV|spN|fits/xsl_spectrum_X0285_uvb.fits        |fits/xsl_spectrum_X0285_vis.fits        |fits/xsl_spectrum_X0285_nir.fits        |                                                                                                                                                                                                        |HD 38237
HD 270110                | |05 46 59.250|-70 06 15.6|X0824|56587.3320|       |spU|spV|spN|fits/xsl_spectrum_X0824_uvb.fits        |fits/xsl_spectrum_X0824_vis.fits        |fits/xsl_spectrum_X0824_nir.fits        |                                                                                                                                                                                                        |HD 270110
HD 38769                 | |05 48 14.650|+01 36 34.9|X0816|56584.3594|       |spU|spV|spN|fits/xsl_spectrum_X0816_uvb.fits        |fits/xsl_spectrum_X0816_vis.fits        |fits/xsl_spectrum_X0816_nir.fits        |                                                                                                                                                                                                        |HD 38769
HD 38856                 | |05 48 45.970|+00 43 32.0|X0771|56553.3814|       |spU|spV|spN|fits/xsl_spectrum_X0771_uvb.fits        |fits/xsl_spectrum_X0771_vis.fits        |fits/xsl_spectrum_X0771_nir.fits        |                                                                                                                                                                                                        |HD 38856
HD 38856                 | |05 48 45.970|+00 43 32.0|X0817|56584.3652|       |spU|spV|spN|fits/xsl_spectrum_X0817_uvb.fits        |fits/xsl_spectrum_X0817_vis.fits        |fits/xsl_spectrum_X0817_nir.fits        |                                                                                                                                                                                                        |HD 38856
SHV 0549503-704331       | |05 49 13.340|-70 42 40.6|X0037|55116.3580|       |spU|spV|spN|fits/xsl_spectrum_X0037_uvb.fits        |fits/xsl_spectrum_X0037_vis.fits        |fits/xsl_spectrum_X0037_nir.fits        |                                                                                                                                                                                                        |SHV 0549503-704331
HD 39587                 | |05 54 22.970|+20 16 34.4|X0317|55586.0864|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0317_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0317_vis_nlc.fits|fits_nlc/xsl_spectrum_X0317_nir_nlc.fits|                                                                                                                                                                                                        |HD 39587
HD 39833                 | |05 55 01.960|-00 30 28.6|X0832|56595.3676|       |spU|spV|spN|fits/xsl_spectrum_X0832_uvb.fits        |fits/xsl_spectrum_X0832_vis.fits        |fits/xsl_spectrum_X0832_nir.fits        |                                                                                                                                                                                                        |HD 39833
HD 39801                 | |05 55 10.310|+07 24 25.4|X0036|55116.3425|NIR    |spU|spV|spN|fits_nlc/xsl_spectrum_X0036_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0036_vis_nlc.fits|                                        |                                                                                                                                                                                                        |HD 39801
HD 39949                 | |05 57 05.560|+27 18 59.9|X0854|56613.3513|       |spU|spV|spN|fits/xsl_spectrum_X0854_uvb.fits        |fits/xsl_spectrum_X0854_vis.fits        |fits/xsl_spectrum_X0854_nir.fits        |                                                                                                                                                                                                        |HD 39949
HD 250792                | |06 03 14.860|+19 21 38.6|X0571|56286.1283|       |spU|spV|spN|fits/xsl_spectrum_X0571_uvb.fits        |fits/xsl_spectrum_X0571_vis.fits        |fits/xsl_spectrum_X0571_nir.fits        |                                                                                                                                                                                                        |HD 250792
HD 41667                 | |06 05 03.640|-32 59 38.7|X0593|56316.0536|       |spU|spV|spN|fits/xsl_spectrum_X0593_uvb.fits        |fits/xsl_spectrum_X0593_vis.fits        |fits/xsl_spectrum_X0593_nir.fits        |                                                                                                                                                                                                        |HD 41667
HD 41433                 | |06 05 08.570|+00 51 59.3|X0578|56293.2043|       |spU|spV|spN|fits/xsl_spectrum_X0578_uvb.fits        |fits/xsl_spectrum_X0578_vis.fits        |fits/xsl_spectrum_X0578_nir.fits        |                                                                                                                                                                                                        |HD 41433
SHV 0606101-724012       | |06 05 09.770|-72 40 35.2|X0121|55240.1409|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0121_uvb_nlc.fits|fits/xsl_spectrum_X0121_vis.fits        |fits/xsl_spectrum_X0121_nir.fits        |                                                                                                                                                                                                        |SHV 0606101-724012
HD 41661                 | |06 06 24.430|-00 57 48.1|X0579|56293.2134|       |spU|spV|spN|fits/xsl_spectrum_X0579_uvb.fits        |fits/xsl_spectrum_X0579_vis.fits        |fits/xsl_spectrum_X0579_nir.fits        |                                                                                                                                                                                                        |HD 41661
